"","StatID","Label","Regex"
"226","PHL","Philippines","philippines"
"227","PLW","Palau","palau"
"228","PMA","Parma","parma"
"229","PNG","Papua New Guinea","papua|new.?guinea"
"230","POL","Poland","poland"
"231","PRK","Democratic People's Republic of Korea","dprk|d.p.r.k|korea.+(d.p.r|dpr|north|dem.*peo.*rep.*)|(d.p.r|dpr|north|dem.*peo.*rep.*).+korea"
"232","PRT","Portugal","portugal|portugese"
"233","PRY","Paraguay","paraguay"
"234","PSE","Gaza Empire","palestin|\bgaza|west.?bank"
"235","PUN","Punjab","punjab|panj.?b|panj-.?b"
"236","QAT","Qatar","qatar"
"237","QUA","Qu'aiti Sultanate","qu'aiti sultanate"
"238","ROU","Romania","r(o|u|ou)mania"
"239","RUS","Russia_Russian Federation","\brussia|soviet.?union|u\.?s\.?s\.?r|socialist.?republics"
"240","RVN","Republic of Vietnam","republic of vietnam|south vietnam"
"241","RWA","Rwanda","rwanda"
"242","SAL","Saloum","saloum"
"243","SAU","Emirate of Diriyah","\bsa\w*.?arabia|first saudi state|emirate of dir.?iyah"
"244","SAW","Sawantvadi","sawantvadi|sawantwadi"
"245","SAX","Saxony","saxony"
"246","SDN","Funj Sultanate of Sennar","(?!.*\bs(?!u)).*sudan"
"247","SEG","Segou","segou|s.?gou"
"248","SEL","Selangor","selangor"
"249","SEN","Senegal","senegal"
"250","SGP","Singapore","singapore"
"251","SHO","Shoa","shoa|shewa|shua|showa|shuwa"
"252","SIA","Siak","siak|siunia|syunik"
"253","SIC","Two Sicilies","two.?sicilies"
"254","SID","Sind","sind|sindh"
"255","SIK","Sikkim","sikkim"
"256","SIR","Sirohi","sirohi"
"257","SLB","Solomon Islands","solomon"
"258","SLE","Sierra Leone","sierra"
"259","SLV","El Salvador","el.?salvador"
"260","SMR","San Marino","san.?marino"
"261","SOK","Sokoto","sokoto"
"262","SOM","Somalia","somali"
"263","SOT","South Ossetia","south ossetia"
"264","SRB","Yugoslavia-Serbia","(?!.*monte).*serbia"
"265","SSD","South Sudan","\bs\w*.?sudan"
"266","STP","Sao Tome and Principe","\bs(a|ã)o.?tom(e|é)"
"267","SUL","Sulu","sulu"
"268","SUR","Suriname","surinam|dutch.?guiana"
"269","SVK","Slovakia","(?!.*cze).*slovak | slovakia "
"270","SVN","Slovenia","sloven"
"271","SWA","Swat","swat|dera yusufzai"
"272","SWE","Sweden","swed"
"273","SWZ","Swaziland","swaziland|eswatini"
"274","SXA","Saxe-Atenburg","saxe-atenburg"
"275","SXG","Saxe-Coburg-Gotha","saxe-coburg-gotha"
"276","SXM","Saxe-Meiningen-Hidburghausen","(?!.*martin)(?!.*saba).*maarten"
"277","SXW","Saxe-Wiemar-Eisenach","saxe.weimar.eisenach"
"278","SYC","Seychelles","seychell"
"279","SYR","Syrian Arab Republic","syria"
"280","TBT","Tibet","tibet"
"281","TCD","Chad","\bchad"
"282","TER","Terengganu","terengganu|trengganu|tringganu"
"283","TEX","Texas","texas"
"284","TGO","Togo","togo"
"285","THA","Thailand","thailand|\bsiam"
"286","TJK","Tajikistan","tajik"
"287","TKL","Tokelau","tokelau"
"288","TKM","Turkmenistan","turkmen"
"289","TLS","Timor-Leste","(?=.*leste).*timor|(?=.*east).*timor"
"290","TOK","Tokolor","tokolor"
"291","TON","Tonga","tonga"
"292","TRA","Transvaal","transvaal"
"293","TTO","Trinidad and Tobago","trinidad|tobago"
"294","TUN","Tunisia","tunisia"
"295","TUR","Turkey","turkey"
"296","TUS","Tuscany","tuscany"
"297","TUV","Tuvalu","tuvalu"
"298","TWN","Chinese Taipei","taiwan|taipei|formosa"
"299","TZA","United Republic of Tanzania","tanzania"
"300","UGA","Buganda","uganda"
"301","UKR","Ukrainian SSR","ukrain"
"302","UPC","United Provinces of Central America","united provinces of central america"
"303","UPR","Udaipur","udaipur"
"304","URY","Uruguay","uruguay"
"305","USA","United States of America","united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|\bu\.?s\.?\b(?!.*islands)"
"306","UZB","Uzbekistan","uzbek"
"307","VAT","Papal States","holy.?see|vatican|papal.?st"
"308","VCT","St. Vincent and the Grenadines","vincent"
"309","VEN","Bolivarian Republic of Venezuela","venezuela"
"310","VNM","Viet Nam","(?!.*republic).*viet.?nam|(?=.*socialist).*viet.?nam"
"311","VUT","Vanuatu","vanuatu|new.?hebrides"
"312","WAD","Wadai","wadai"
"313","WRT","Wuerttemburg","w(ue|ü)rttemburg|w.rtemberg"
"314","WSM","Samoa","(?!.*amer).*samoa"
"315","YEK","Yeke Kingdom","yeke kingdom"
"316","YEM","Yemen","(?=.*arab).*yemen|(?=.*north).*yemen|(?=.*sana).*yemen|(?<!people's republic of |south )yemen(?!..peo)"
"317","YPR","Yemen People’s Republic","(?=.*peo).*yemen|(?!.*rep)(?=.*dem).*yemen|(?=.*south).*yemen|(?=.*aden).*yemen|(?=.*\bp\.?d\.?r).*yemen"
"318","YUG","Yugoslavia","yugoslavia"
"319","ZAF","South Africa","south.africa|s\\..?africa"
"320","ZIN","Zinder (Damagaram)","zinder (damagaram)"
"321","ZMB","Zambia","zambia|northern.?rhodesia"
"322","ZUL","Zululand","zululand"
"323","ZWE","Zimbabwe","zimbabwe|(?!.*northern).*rhodesia"
"324","EC","European Community","european community|e\.?c\.?\s"
"325","AU","African Union","african union"
"326","PPR","Polish Peoples Republic","polish peoples republic"
