COWNum,COWID,StateName,OtherName,ISD_Category,Region,Start,Start_Am,EStart,EStart_Am,Declare,DecDate,Population,PopDate,PopAm,PopulationHigh,PopulationLow,StartType,StartType_Am,StartSettle,End,End_Am,EndType,EndType_Am,EndSettle,Sovereignty_Am,EuroDip,Borders,Borders_Am,Latitude,Longitude,Capital,VioStart,VioStart_Am,VioEnd,VioEnd_Am,DestinationA,DestinationB,DestinationC,DestinationD,DestinationE,DestinationF,DestinationG,DestinationH,DestinationI,DestinationJ,DestinationK,DestinationL,DestinationM,DestinationN,DestinationO,DestinationP,DestinationQ,DestinationR,DestinationS,DestinationT,DestinationU
8560,BUE,Buleleng,Baliling,3,3,1816-01-01,0,1806,1,0,-9,70000,1873,0,-9,-9,2,1,0,1849-12-31,1,1,0,1,1,1,0,0,8 12 0 S,114 57 0 E,,0,1,1,0,850,,,,,,,,,,,,,,,,,,,,
355,BUL,Bulgaria,-9,2,5,1908-10-05,1,-9,-9,1,05-10-1908,4221119,1909,0,-9,2007919,2,0,1,2016-12-31,0,-9,-9,-9,0,1,1,0,42 42 0 N,23 20 0 E,Sofia,1,1,-9,-9,355,,,,,,,,,,,,,,,,,,,,
8566,BUL,Bulungan,-9,3,3,1816-01-01,0,1800,1,0,-9,40000,1924,1,-9,-9,2,0,-9,1885-12-31,1,1,0,1,0,1,0,0,2 51 0 N,117 23 0 E,,-9,-9,0,0,850,,,,,,,,,,,,,,,,,,,,
5003,BUN,Bunyoro,"Bunyoro-Kitara, Nyoro Kingdom",3,1,1816-01-01,0,1500,0,0,-9,2000000,1893,0,2500000,100000,3,0,0,1893-12-31,0,1,0,0,0,1,0,0,0 24 01.4 N,30 59 00.1 E,Hoima,1,0,1,0,500,,,,,,,,,,,,,,,,,,,,
439,BFO,Burkina Faso,-9,1,1,1960-08-05,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
516,BUI,Burundi,-9,1,1,1962-07-01,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
811,CAM,Cambodia,-9,1,3,1953-11-09,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
471,CAO,Cameroon,-9,1,1,1960-01-01,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
20,CAN,Canada,-9,1,4,1920-01-10,0,-9,-9,0,-9,8'798'000,1920,0,-9,-9,5,0,1,2016-12-31,0,-9,-9,-9,0,1,1,0,45 24 0 N,75 40 0 W,Ottowa,0,0,-9,-9,20,,,,,,,,,,,,,,,,,,,,
402,CAP,Cape Verde,-9,1,1,1975-07-05,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
4333,CAY,Cayor,"Kajoor, Damel",2,1,1816-01-01,0,1556,0,-9,-9,250000,1775,0,250000,180000,2,0,0,1861-02-01,1,1,0,1,0,1,0,1,15 37 7.7 N,16 13 50.9 W,Mboul,1,0,1,0,433,,,,,,,,,,,,,,,,,,,,
482,CEN,Central African Republic,-9,1,1,1960-08-13,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
483,CHA,Chad,-9,1,1,1960-08-11,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
7638,CHM,Chamba,"Camba, Campa, Gadderan (part of state known as) Pangi",2,2,1816-01-01,0,1752,1,0,-9,115773,1881,0,127834,115773,2,0,0,1843-12-31,1,1,0,1,1,1,1,1,32 34 12 N,76 07 48 E,Chamba,1,0,1,0,750,,,,,,,,,,,,,,,,,,,,
8124,CHP,Champasak,-9,3,3,1816-01-01,0,1713,1,0,-9,-9,-9,1,-9,-9,2,0,0,1829-12-31,1,2,0,0,1,1,0,1,14 53 0 N,105 52 0 E,Champasak,1,0,1,0,812,,,,,,,,,,,,,,,,,,,,
8123,CHI,Chien Khouang/ Xiang Khouang/ Xieng Khouang,-9,3,3,1816-01-01,0,800,1,0,-9,-9,-9,1,-9,-9,2,0,0,1831-12-31,1,2,0,0,1,1,0,1,19 19 29 N,103 21 33 E,Muang Phuan,1,0,1,0,812,,,,,,,,,,,,,,,,,,,,
155,CHL,Chile,-9,1,4,1818-02-12,1,-9,-9,1,18-09-1810,771'450,1820,0,-9,-9,5,0,0,2016-12-31,0,-9,-9,-9,0,1,1,0,33 26 0 S,70 40 0 W,Santiago,1,0,-9,-9,155,,,,,,,,,,,,,,,,,,,,
710,CHN,China,-9,1,3,1816-01-01,0,1368,0,0,-9,381'000'000,1820,0,-9,-9,6,0,0,2016-12-31,0,-9,-9,-9,0,1,1,0,39 55 0 N,116 23 0 E,Beijing,1,0,-9,-9,710,712,,,,,,,,,,,,,,,,,,,
