State,Name,COWsys,GWsys,Indep,Viol,Type,From,IndepTC,ViolTC,TypeTC,FromTC,IndepP2,ViolP2,TypeP2,Notes
530,Ethiopia,18980101,18550211,185502,1,1,-9,-9,-9,5,-9,1855,1,1,COW system interrupted 1936-41 (Ital occup); terr chg only includes 1941 restoration
531,Eritrea,19930524,19930524,199305,1,3,530,199304,1,3,530,-9,-9,-9,
540,Angola,19751111,19751111,197511,1,2,235,197511,1,-9,235,1975,1,2,
541,Mozambique,19750625,19750625,197506,1,2,235,197506,0,-9,235,1976,-9,0,
551,Zambia,19641024,19641024,196410,0,2,200,196410,0,-9,200,1964,0,2,
552,Zimbabwe,19651111,19651111,196511,0,2,200,198004,0,-9,200,1923,0,-9,
553,Malawi,19640706,19640706,196407,0,2,200,196407,0,-9,200,1966,0,2,
560,South Africa,19200110,19100531,191005,0,2,200,192012,0,-9,200,1856,0,-9,
565,Namibia,19900321,19900321,199003,1,2,560,199003,1,-9,560,-9,-9,-9,
570,Lesotho,19661004,19661004,196610,0,2,200,196610,0,-9,200,1966,0,2,
571,Botswana,19660930,19660930,196609,0,2,200,196609,0,-9,200,1966,0,2,
572,Swaziland,19680906,19680906,196809,0,2,200,196809,0,-9,200,-9,-9,-9,
580,Madagascar,19600626,19600626,196006,0,2,220,196006,0,-9,220,1961,0,2,G&W add earlier indep from 1/1/1816-8/5/1896
581,Comoros,19751231,19750706,197507,0,2,220,197507,0,-9,220,-9,-9,-9,
590,Mauritius,19680312,19680312,196803,0,2,200,196803,0,-9,200,1968,0,2,
591,Seychelles,19760629,-9,197606,0,2,200,197606,0,-9,200,-9,-9,-9,
600,Morocco (original),18470101,18160101,166606,1,1,-9,-9,-9,-9,-9,1800,-9,0,1st independence - ends with 1911 French occupation
600,Morocco (postcolonial),19560302,19560302,195603,0,2,220,195603,0,-9,220,-9,-9,-9,2nd independence - after decolonization
615,Algeria,19620705,19620705,196207,1,2,220,196207,1,-9,220,1963,1,2,G&W add earlier indep from 1/1/1816-7/5/1830
616,Tunisia (original),18250101,18160101,159100,1,2,640,182599,0,3,640,-9,-9,-9,1st independence - ends with 1881 French occupation
616,Tunisia (postcolonial),19560320,19560101,195603,1,2,220,195603,0,-9,220,1959,1,2,2nd independence - after decolonization
620,Libya,19511224,19511224,195112,0,2,200,195112,0,-9,1,1951,0,2,G&W add earlier indep from 1/1/1816-12/31/1834
625,Sudan,19560101,19560101,195601,0,2,200,195601,0,-9,200,1954,0,2,Terr chg also codes as becoming indep in 1884 (but not joining system)
630,Iran,18550101,18160101,150200,1,1,-9,185501,-9,0,-9,1800,-9,-9,
640,Turkey,18160101,18160101,145305,1,1,-9,181601,-9,0,-9,1800,-9,0,Polity2 treats 1923 Ottoman-Turkey transition to produce a new state (violent partition)
645,Iraq,19321003,19321003,193210,0,2,200,193210,0,-9,200,1924,0,2,
651,Egypt (original),18550101,18270101,183111,0,2,640,185599,0,3,640,1811,1,3,1st independence - ends with 1882 British occupation
651,Egypt (poat-colonial),19370526,19220228,192202,0,2,200,192202,0,-9,200,-9,-9,-9,2nd independence - after decolonization (Polity2 doesn't incl a second indep entry)
652,Syria (post-colonial),19460417,19460101,194604,1,2,220,194604,1,-9,220,1944,1,2,1st independence - ends with 1958 merger into UAR; G/W leave Syria in system
652,Syria (post-UAR),19610929,-9,196109,0,3,651,196109,0,3,650,-9,-9,-9,2nd independence - after secession from UAR; G/W leave Syria in system
660,Lebanon,19460310,19441122,194311,0,2,220,194608,0,-9,220,1944,1,2,
663,Jordan,19460322,19460525,194605,0,2,200,194603,0,-9,200,1946,0,2,
666,Israel,19480514,19480514,194805,1,2,200,194805,1,-9,200,1949,1,2,
670,Saudi Arabia,19270520,19320923,192601,1,1,-9,192705,-9,0,-9,1926,1,1,
678,Yemen Arab Republic,19260902,19181030,191810,1,2,640,191899,1,3,640,1918,1,3,
679,Yemen,19900522,-9,199005,0,1,678,-9,-9,-9,-9,-9,-9,-9,G&W merge #680 into #678 instead of creating #679
680,Yemen People's Republic,19671130,19671130,196711,1,2,200,196711,0,-9,200,1967,1,2,
690,Kuwait,19610619,19610619,196106,0,2,200,196106,0,-9,200,1961,0,2,
692,Bahrain,19710815,19710815,197108,0,2,200,197107,0,-9,200,-9,-9,-9,
694,Qatar,19710903,19710903,197109,0,2,200,197109,0,-9,200,-9,-9,-9,Terr chg also codes as becoming indep in 1915 (but not joining system)
696,United Arab Emirates,19711202,19711202,197112,0,2,200,197111,0,-9,200,-9,-9,-9,"Terr chg includes the indep case as well as an ""initial system membership list"" entrry (???)"
698,Oman,19711007,18160101,174100,1,2,640,197111,-9,0,-9,1800,-9,0,
700,Afghanistan,19200101,19190501,191908,0,2,200,192001,-9,0,-9,1800,1,1,G&W add earlier indep from 1/1/1816-12/30/1888
701,Turkmenistan,19911226,19911027,199112,0,3,365,199110,0,3,365,-9,-9,-9,
702,Tajikistan,19911226,19910909,199112,0,3,365,199109,0,3,365,-9,-9,-9,
703,Kyrgyzstan,19911226,19910831,199112,0,3,365,199108,0,3,365,-9,-9,-9,
704,Uzbekistan,19911226,19910831,199112,0,3,365,199108,0,3,365,-9,-9,-9,
705,Kazakhstan,19911226,19911216,199112,0,3,365,199112,0,3,365,-9,-9,-9,
710,China,18601025,18160101,136800,1,1,-9,186010,-9,0,-9,1800,-9,0,
712,Mongolia,19210101,19210313,192108,1,3,710,192107,1,3,710,1924,1,2,
713,Taiwan,19491208,19491208,194912,1,3,710,194912,1,3,710,1949,1,3,
730,Korea,18870101,18160101,91800,1,1,-9,188801,-9,0,-9,1800,-9,0,
731,North Korea,19480909,19480909,194809,1,4,730,194809,0,-9,365,1948,1,4,
732,South Korea,19490629,19480815,194808,1,4,730,194808,0,-9,2,1948,1,4,
740,Japan,18600101,18160101,159000,1,1,-9,186001,-9,0,-9,1800,-9,0,COW system interrupted 1945-52 (Allied occup); terr chg codes a separate indep in 1952
750,India,19470815,19470815,194708,0,2,200,194708,0,-9,200,1950,1,4,
760,Bhutan,19710921,19490101,194708,0,2,750,194908,0,-9,750,1907,0,-9,
770,Pakistan,19470814,19470814,194708,0,2,200,194708,0,-9,200,1947,1,4,
771,Bangladesh,19720101,19711216,197112,1,3,770,197112,1,3,770,1972,1,3,"Terr chg includes the indep case as well as an ""initial system membership list"" entrry (???)"
775,Myanmar,19480104,19480104,194801,0,2,200,194801,0,-9,200,1948,0,2,G&W add earlier indep from 1/1/1816-12/31/1885
780,Sri Lanka,19480204,19480204,194802,0,2,200,194801,0,-9,200,1948,0,2,
781,Maldives,19650726,19650526,196507,0,2,200,196507,0,-9,200,-9,-9,-9,
790,Nepal,19200101,18160101,176809,1,1,-9,192001,-9,0,-9,1800,-9,0,
800,Thailand,18870101,18160101,176900,1,1,-9,188701,-9,0,-9,1800,-9,0,
811,Cambodia,19531109,19531109,195311,1,2,220,195311,0,-9,220,1949,1,2,
812,Laos,19531023,19540501,195310,1,2,220,195412,0,-9,220,1954,-9,0,
816,Vietnam,19540721,19540501,195407,1,2,220,195412,1,-9,220,1954,1,2,G&W add earlier indep from 1/1/1816-1/1/1893
817,Republic of Vietnam,19540604,19540501,195407,1,2,220,195412,1,-9,220,1955,1,2,
820,Malaysia,19570831,19570831,195708,0,2,200,195708,0,-9,200,1957,0,2,
830,Singapore,19650809,19650809,196508,0,3,820,196508,0,3,820,1959,0,2,
835,Brunei,19840101,19840101,198401,0,2,200,198401,0,-9,200,-9,-9,-9,
840,Philippines,19460704,19460704,194607,0,2,2,194607,0,-9,2,1935,0,2,
850,Indonesia,19491227,19450817,194912,1,2,210,194912,1,-9,210,1945,1,2,
860,East Timor,20020927,20020520,200205,1,2,850,-9,-9,-9,-9,-9,-9,-9
900,Australia,19200110,19010101,190101,0,1,200,192012,0,-9,200,1901,0,1
910,Papua New Guinea,19750916,19750916,197509,0,2,900,197509,0,-9,900,1976,-9,0
920,New Zealand,19200110,19070901,190709,0,1,200,192012,0,-9,200,1857,0,2
935,Vanuatu,19810915,-9,198007,0,2,220,198007,0,-9,220,-9,-9,-9
940,Solomon Islands,19780707,19780707,197807,0,2,200,197807,0,-9,200,-9,-9,-9
946,Kiribati,19990914,-9,197907,0,2,200,197907,0,-9,200,-9,-9,-9
947,Tuvalu,20000805,-9,197810,0,2,200,197810,0,-9,200,-9,-9,-9
950,Fiji,19701010,19701010,197010,0,2,200,197010,0,-9,200,-9,-9,-9
955,Tonga,19990814,-9,197006,0,2,200,197006,0,-9,200,-9,-9,-9
970,Nauru,19990914,-9,196801,0,2,900,196801,0,-9,900,-9,-9,-9
983,Marshall Islands,19910917,-9,198610,0,2,2,198610,0,-9,2,-9,-9,-9
986,Palau,19941129,-9,199410,0,2,2,199410,0,-9,2,-9,-9,-9
987,Fed. States of Micronesia,19910917,-9,198611,0,2,2,198611,0,-9,2,-9,-9,-9
990,Samoa,19761215,-9,196201,0,2,920,196201,0,-9,920,-9,-9,-9
